0.021876,0.018128,-0.035431,-0.029948,0.16349,0.41401,0.022429,0.018681,-0.25833,-0.36414,-0.54122,-0.53971
-0.033916,-0.033818,-0.028735,-0.041872,0.06203,0.18433,-0.036883,-0.01353,-0.15438,-0.25379,-0.33198,-0.24122
-0.11586,0.065199,0.18644,0.24228,0.23087,0.23972,0.20793,-0.14481,-0.30595,-0.40298,-0.56808,-0.51615
0.16954,0.12385,0.048752,0.1022,0.25294,0.36318,-0.043766,-0.13425,-0.26791,-0.41718,-0.60749,-0.86364
-0.13467,-0.057416,-0.077988,0.048697,0.050251,-0.13334,0.12931,-0.051112,-0.31294,-0.45755,-0.68083,-0.69138
-0.022399,-0.059937,-0.077142,-0.0046895,0.13684,0.042884,0.11169,-0.067815,-0.2567,-0.34907,-0.52241,-0.51164
0.069752,-0.17691,-0.16695,0.062167,0.22197,0.2692,0.13196,-0.24198,-0.42978,-0.34701,-0.44867,-0.30161
0.012956,-0.063889,0.20539,0.40004,0.22599,0.3377,0.081079,0.042034,-0.11465,-0.27132,-0.45554,-0.58289
-0.30297,0.17809,-0.0064065,0.12337,0.29334,0.18315,-0.18224,-0.51203,-0.59363,-0.55671,-0.74806,-0.70555
0.17602,-0.028478,-0.11821,-0.10292,0.15883,0.39139,-0.073113,-0.53626,-0.55205,-0.44089,-0.50383,-0.59003
-0.15568,0.013752,0.014107,0.40973,0.43067,0.32535,0.4063,-0.37734,-1.0115,-1.1089,-1.2462,-0.8513
-0.046962,-0.046331,-0.0051545,0.098704,0.3036,0.42459,-0.10512,-0.074091,-0.295,-0.39966,-0.62439,-0.96862
0.059639,0.10384,0.036519,0.15608,0.2797,0.13708,-0.068298,-0.12262,-0.3971,-0.51141,-0.60036,-0.40503
-0.0162,-0.0072884,-0.087343,-0.077217,0.10929,0.22326,0.071898,0.088786,-0.011533,-0.10894,-0.24624,-0.14589
-0.39368,0.046439,0.39181,0.58351,0.49245,0.24829,0.34902,-0.35397,-0.79654,-0.75252,-0.96194,-0.32171
